"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Codes\unex-ai\ai-chat-to-code\app\about\page.tsx", "TypeScript JSX", 141, 0, 0, 0, 0, 10, 151
"d:\Codes\unex-ai\ai-chat-to-code\app\api\dify\route.ts", "TypeScript", 0, 58, 0, 0, 0, 9, 67
"d:\Codes\unex-ai\ai-chat-to-code\app\api\openai\route.ts", "TypeScript", 0, 59, 0, 0, 0, 7, 66
"d:\Codes\unex-ai\ai-chat-to-code\app\api\upload\route.ts", "TypeScript", 0, 53, 0, 0, 2, 13, 68
"d:\Codes\unex-ai\ai-chat-to-code\app\api\webpack\route.ts", "TypeScript", 0, 53, 0, 0, 9, 13, 75
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAChatInterface.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 6, 52
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAMarkdownDisplay.tsx", "TypeScript JSX", 27, 0, 0, 0, 2, 6, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAView.scss", "SCSS", 0, 0, 14, 0, 0, 4, 18
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAView.tsx", "TypeScript JSX", 50, 0, 0, 0, 2, 10, 62
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendChatInterface.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 6, 52
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendMarkdownDisplay.tsx", "TypeScript JSX", 27, 0, 0, 0, 2, 6, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendView.scss", "SCSS", 0, 0, 13, 0, 0, 4, 17
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendView.tsx", "TypeScript JSX", 50, 0, 0, 0, 2, 10, 62
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Chat.scss", "SCSS", 0, 0, 16, 0, 1, 3, 20
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\ChatInterface\ChatInterface.tsx", "TypeScript JSX", 150, 0, 0, 0, 1, 15, 166
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\ChatInterface\Chatinterface.scss", "SCSS", 0, 0, 65, 0, 0, 11, 76
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendChatInterface.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 6, 52
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendMarkdownDisplay.tsx", "TypeScript JSX", 28, 0, 0, 0, 2, 5, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendView.scss", "SCSS", 0, 0, 13, 0, 0, 4, 17
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendView.tsx", "TypeScript JSX", 50, 0, 0, 0, 2, 10, 62
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\MarkdownDisplay\MarkdownDisplay.scss", "SCSS", 0, 0, 65, 0, 1, 12, 78
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\MarkdownDisplay\MarkdownDisplay.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 9, 92
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\PagesView.scss", "SCSS", 0, 0, 48, 0, 0, 10, 58
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\PagesView.tsx", "TypeScript JSX", 148, 0, 0, 0, 0, 21, 169
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\AddComponentModal.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 5, 58
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\ComponentItem.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 7, 41
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\CreatePageModal.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 5, 57
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageCard.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 3, 41
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageColumn.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 9, 83
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageModal.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 9, 89
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\types.ts", "TypeScript", 0, 2, 0, 0, 0, 2, 4
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\ProjectsView.scss", "SCSS", 0, 0, 43, 0, 0, 11, 54
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\ProjectsView.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 13, 93
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\CreateProjectModal.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 5, 68
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\ProjectCard.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 3, 46
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\ProjectModal.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 10, 106
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\types.ts", "TypeScript", 0, 2, 0, 0, 0, 2, 4
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Sidebar\Sidebar.scss", "SCSS", 0, 0, 134, 0, 1, 22, 157
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Sidebar\Sidebar.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 17, 199
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestChatInterface.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 6, 52
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestMarkdownDisplay.tsx", "TypeScript JSX", 27, 0, 0, 0, 2, 6, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.scss", "SCSS", 0, 0, 13, 0, 0, 4, 17
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.tsx", "TypeScript JSX", 50, 0, 0, 0, 2, 10, 62
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.scss", "SCSS", 0, 0, 90, 0, 0, 15, 105
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.tsx", "TypeScript JSX", 100, 0, 0, 0, 2, 11, 113
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseChatInterface.tsx", "TypeScript JSX", 243, 0, 0, 0, 1, 18, 262
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseMarkdownDisplay.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 9, 104
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\page.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 7, 48
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\backend.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 12, 109
