Date : 2024-11-28 19:12:34
Directory : d:\Codes\unex-ai\ai-chat-to-code\app
Total : 125 files,  8582 codes, 144 comments, 1125 blanks, all 9851 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         76 |      5,623 |         54 |        600 |      6,277 |
| TypeScript     |         35 |      2,273 |         73 |        405 |      2,751 |
| SCSS           |         13 |        652 |          4 |        113 |        769 |
| JavaScript     |          1 |         34 |         13 |          7 |         54 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        125 |      8,582 |        144 |      1,125 |      9,851 |
| . (Files)                                                                                       |          1 |         28 |          1 |          6 |         35 |
| about                                                                                           |          1 |        141 |          0 |         10 |        151 |
| api                                                                                             |          4 |        223 |         11 |         42 |        276 |
| api\dify                                                                                        |          1 |         58 |          0 |          9 |         67 |
| api\openai                                                                                      |          1 |         59 |          0 |          7 |         66 |
| api\upload                                                                                      |          1 |         53 |          2 |         13 |         68 |
| api\webpack                                                                                     |          1 |         53 |          9 |         13 |         75 |
| chat-deprecated                                                                                 |         43 |      2,666 |         23 |        367 |      3,056 |
| chat-deprecated (Files)                                                                         |          2 |         57 |          1 |         10 |         68 |
| chat-deprecated\BA                                                                              |          4 |        137 |          4 |         26 |        167 |
| chat-deprecated\Backend                                                                         |          4 |        136 |          4 |         26 |        166 |
| chat-deprecated\ChatInterface                                                                   |          2 |        215 |          1 |         26 |        242 |
| chat-deprecated\Frontend                                                                        |          4 |        137 |          4 |         25 |        166 |
| chat-deprecated\MarkdownDisplay                                                                 |          2 |        148 |          1 |         21 |        170 |
| chat-deprecated\Pages                                                                           |          9 |        529 |          0 |         71 |        600 |
| chat-deprecated\Pages (Files)                                                                   |          3 |        198 |          0 |         33 |        231 |
